epoch,train_loss,val_acc,learning_rate,is_best
1,8.048174,0.739716,0.0001,True
2,5.900479,0.786088,9.98458666866564e-05,True
3,5.043467,0.809648,9.938441702975689e-05,True
4,4.545395,0.833209,9.861849601988383e-05,True
5,4.152272,0.84181,9.755282581475767e-05,True
6,3.891048,0.84555,9.619397662556432e-05,True
7,3.603646,0.858639,9.455032620941837e-05,True
8,3.454781,0.859761,9.26320082177046e-05,True
9,3.228723,0.866492,9.045084971874737e-05,True
10,3.085511,0.86911,8.802029828000154e-05,True
11,2.904119,0.869484,8.535533905932737e-05,True
12,2.824553,0.87472,8.247240241650918e-05,True
13,2.689906,0.878833,7.938926261462365e-05,True
14,2.634953,0.877711,7.612492823579742e-05,False
15,2.454065,0.878459,7.269952498697731e-05,False
16,2.429038,0.872102,6.913417161825447e-05,False
17,2.264106,0.878833,6.545084971874736e-05,False
18,2.223866,0.879581,6.167226819279526e-05,True
19,2.201403,0.87472,5.7821723252011525e-05,False
20,2.147585,0.878459,5.392295478639223e-05,False
21,2.081036,0.881451,4.999999999999998e-05,True
22,1.976748,0.880703,4.607704521360774e-05,False
23,2.006642,0.882947,4.217827674798845e-05,True
24,1.969053,0.885191,3.832773180720472e-05,True
25,1.855512,0.884817,3.4549150281252616e-05,False
26,1.830604,0.881451,3.08658283817455e-05,False
27,1.851187,0.885191,2.730047501302265e-05,False
28,1.8378,0.882573,2.387507176420255e-05,False
29,1.821664,0.885191,2.061073738537634e-05,False
30,1.76647,0.887435,1.7527597583490816e-05,True
31,1.722427,0.887061,1.464466094067262e-05,False
32,1.740906,0.884817,1.1979701719998447e-05,False
33,1.730522,0.885939,9.549150281252628e-06,False
34,1.688736,0.883321,7.367991782295387e-06,False
35,1.690863,0.886687,5.449673790581608e-06,False
36,1.681447,0.88893,3.806023374435661e-06,True
37,1.73412,0.88893,2.447174185242322e-06,False
38,1.718364,0.884443,1.3815039801161715e-06,False
39,1.664861,0.883321,6.155829702431167e-07,False
40,1.692465,0.885191,1.5413331334360174e-07,False
